accuracy,loss,val_accuracy,val_loss
0.9959976077079773,0.022689834237098694,1.0,1.4210620975063648e-05
1.0,1.9669645553221926e-05,1.0,5.257979296402482e-07
1.0,2.334173359486158e-06,1.0,1.1450332948470532e-07
1.0,1.2354647651591222e-06,1.0,5.420156057311942e-08
1.0,8.874783929968544e-07,1.0,2.7075838460177692e-08
1.0,4.799863972948515e-07,1.0,1.4791432079164224e-08
1.0,4.0338807139050914e-07,1.0,7.667897428120796e-09
1.0,2.1251310045045102e-07,1.0,5.06064301575293e-09
1.0,1.281121910778893e-07,1.0,3.606008158740792e-09
1.0,4.031436731111171e-07,1.0,1.6092568388970108e-09
1.0,7.138290669672642e-08,1.0,1.2657955794637132e-09
1.0,1.2111816261040076e-07,1.0,8.416128349786334e-10
1.0,2.411700705806652e-08,1.0,7.586788419722268e-10
1.0,4.359912253448783e-08,1.0,6.293331411555414e-10
1.0,5.424573146228795e-08,1.0,5.149197179754594e-10
1.0,2.7874378361048002e-08,1.0,4.245815365955252e-10
1.0,2.334805415671326e-08,1.0,3.646965229808785e-10
1.0,1.9220939861952502e-07,1.0,1.8755631769895587e-10
1.0,1.4072975673684596e-08,1.0,1.5798172492420548e-10
1.0,1.4908444256889197e-08,1.0,1.4320425401059822e-10
1.0,2.0538411860115957e-08,1.0,1.2187187370393815e-10
1.0,1.3197211323756619e-08,1.0,1.079759753830345e-10
1.0,7.221384379363371e-09,1.0,9.994263056034569e-11
1.0,1.0985711895727945e-08,1.0,9.059054201232541e-11
1.0,1.0634201075276906e-08,1.0,8.04353250671852e-11
1.0,8.083325120367135e-09,1.0,7.16381606813421e-11
1.0,7.0265491203258534e-09,1.0,6.485090242591696e-11
1.0,1.2035206609084526e-08,1.0,5.466669131259927e-11
1.0,5.341049202911563e-08,1.0,2.3955396694086417e-11
1.0,4.746188775328619e-09,1.0,2.1557774662617213e-11
1.0,2.627896567020116e-09,1.0,2.0805954181746245e-11
1.0,2.912374563734943e-09,1.0,1.9367960360505698e-11
1.0,2.446069791162131e-09,1.0,1.833814523843902e-11
1.0,4.975654110950245e-09,1.0,1.6584712769773802e-11
1.0,1.9200789846962607e-09,1.0,1.5648963028191964e-11
1.0,2.348773397997661e-09,1.0,1.4788783045394105e-11
1.0,3.692129935117805e-09,1.0,1.3078977137426229e-11
1.0,8.353572944486132e-09,1.0,1.0344797067574074e-11
1.0,3.4071179211281333e-09,1.0,9.53397603919992e-12
1.0,4.009955922867903e-09,1.0,8.09540628976535e-12
1.0,1.7055510337371516e-09,1.0,7.569863139100796e-12
1.0,1.1525839171966368e-09,1.0,7.39939446520177e-12
1.0,2.834268375551119e-09,1.0,6.624679103894859e-12
1.0,9.412024493116178e-10,1.0,6.3002780076315545e-12
1.0,1.2144422134596766e-09,1.0,6.006909813310868e-12
1.0,1.6424293036720883e-09,1.0,5.468001051944782e-12
1.0,9.118643617966882e-09,1.0,3.5647882215550375e-12
1.0,7.585707617607795e-10,1.0,3.4704259865153686e-12
1.0,1.9213912683113676e-09,1.0,3.121202948874746e-12
1.0,8.881729240961533e-10,1.0,2.94918169746472e-12
